"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 11 14:45:24 MSK 2021","Mon Oct 11 14:45:49 MSK 2021","24566","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Фрибета и БП","Проверка Фрибета и БП",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","10","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка запроса по textarea + file","Проверка запроса по textarea + file",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","11","","Провекра гридов с соревнованиями в линии/лайве","","Провекра гридов с соревнованиями в линии/лайве","Проверка шапки чемпионата","Проверка шапки чемпионата",""
"passed","Mon Oct 11 14:52:01 MSK 2021","Mon Oct 11 14:52:11 MSK 2021","9712","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Проверка фильтра в горизонтальном положении на выбор события","Проверка фильтра в горизонтальном положении на выбор события",""
"skipped","Mon Oct 11 14:51:23 MSK 2021","Mon Oct 11 14:51:23 MSK 2021","10","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Выплата на Яндекс деньги","Выплата на Яндекс деньги",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","21","","Тесты на личный кабинет","","Тесты на личный кабинет","Проверка работы вкладки История в Личном кабинете пользователя","Проверка работы вкладки История в Личном кабинете пользователя",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","15","","Тесты на функциии из области шапки сайта","","Тесты на функциии из области шапки сайта","Проверка функции Поиск","Проверка функции Поиск",""
"failed","Mon Oct 11 14:45:49 MSK 2021","Mon Oct 11 14:46:07 MSK 2021","18069","","Проверка БС, min/max","","Проверка БС, min/max","Проверка Фрибета/Бп с нулевым балансом клиента","Проверка Фрибета/Бп с нулевым балансом клиента",""
"passed","Mon Oct 11 14:46:44 MSK 2021","Mon Oct 11 14:47:03 MSK 2021","19064","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка для неидентифицированного клиента","Проверка для неидентифицированного клиента",""
"failed","Mon Oct 11 14:50:36 MSK 2021","Mon Oct 11 14:50:57 MSK 2021","20782","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через МТС","Проверка открытия страницы пополнения через МТС",""
"passed","Mon Oct 11 14:45:04 MSK 2021","Mon Oct 11 14:45:24 MSK 2021","20875","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Популярные события","Популярные события",""
"passed","Mon Oct 11 14:47:24 MSK 2021","Mon Oct 11 14:47:44 MSK 2021","20073","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка избранного в выплатах","Проверка избранного в выплатах",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","13","","Проверка работы всего функицонала во вкладке ""Результат""","","Проверка работы всего функицонала во вкладке ""Результат""","Проверка сортировки по времени","Проверка сортировки по времени",""
